Depth,EDC3_gas_a,CO2,sigma
102.83,137,280.4,1.8
106.89,268,274.9,0.7
107.2,279,277.9,0.7
110.25,395,279.1,1.3
110.5,404,281.9,1.1
113.27,485,277.7,0.7
115.48,559,281.1,1.1
118.62,672,282.2,0.5
121.5,754,280.1,0.6
124.82,877,278.4,1.5
127.02,950,276.6,1.4
129.75,1060,279.1,1
132.5,1153,277.7,1.2
134.72,1233,278.7,1.2
138.02,1350,277.4,0.8
141.3,1453,279.2,0.9
144.05,1552,280,0.8
146.27,1638,278.9,0.8
149.02,1733,278.7,0.7
151.2,1812,278,1.2
154.5,1931,276.9,0.7
157.82,2057,276.7,0.8
160.03,2128,276.7,0.8
162.17,2212,277.6,1.3
165.52,2334,277.9,0.5
168.28,2433,273.9,1.1
171,2536,278.9,0.6
173.14,2604,275.3,1.6
176.52,2728,274.7,1.2
178.72,2806,276.3,0.9
181.45,2902,274.6,0.8
185.85,3053,276.3,1.5
187.52,3116,273.1,1.1
189.72,3215,274,0.3
193,3336,275,0.6
196.3,3453,273.4,1.3
198.52,3523,273,0.8
201.28,3622,271.5,1
204,3721,275.4,0.5
206.2,3790,274.9,1.3
209.52,3910,271.7,1
212.27,4004,271.6,0.7
215,4096,272.8,0.8
216.65,4161,271.5,0.9
221.05,4324,271.1,0.8
222.72,4374,269.1,0.6
225.48,4480,269.8,1
228.2,4573,271.5,0.8
232.05,4703,270.7,0.5
233.72,4766,269.3,1
236.47,4874,268.6,1.1
240.27,5004,269.8,1.2
242.5,5094,267.6,0.6
244.72,5160,265.3,1.7
248.02,5274,265.2,0.8
250.72,5370,267.6,2
253.5,5476,265.9,0.9
256.27,5562,265.5,0.8
259.02,5657,260.7,1.6
260.65,5716,266.7,0.9
264.5,5855,265.5,0.8
268.37,5998,263.2,0.6
269.42,6039,262.7,0.9
272.2,6131,261.2,0.7
276.07,6263,261.1,0.4
278.27,6354,259.4,0.6
280.53,6434,262.1,0.9
283.72,6545,262.9,0.5
285.97,6617,258.1,1.4
288.17,6713,257.6,0.9
292,6838,262.3,0.9
294.75,6941,263,0.7
297.52,7028,260.7,0.6
299.72,7112,258.4,0.8
303,7234,260.1,0.6
305.75,7320,260.4,0.4
308.52,7413,259.7,0.9
311.26,7507,259.2,0.7
314,7590,260.8,1.4
316.75,7691,259.6,0.5
319.52,7781,259.3,0.9
322.27,7876,258.3,1.2
325,7990,261.3,0.9
326.55,8050,260.7,0.4
330.5,8181,261.8,1
333.27,8281,259,1.1
336.02,8387,260.9,0.7
338.65,8477,260.4,0.6
341.5,8579,259.3,1
343.72,8653,262,0.8
347.02,8784,263.7,1.2
349.75,8869,263.8,0.8
352.58,8973,265.2,0.9
355.82,9092,260.6,1.7
357.47,9140,260.9,0.6
360.2,9232,263,0.4
362.98,9317,263.8,1.2
369.55,9536,264.4,0.4
371.23,9597,264.2,0.9
375.05,9721,264,0.3
377.27,9807,263.4,0.1
380,9909,265.7,0.5
382.22,9983,264.9,0.4
385.13,10088,267.5,0.4
388.23,10209,266.9,0.6
390.45,10294,266,1.1
393.78,10417,265.1,1.6
396.5,10527,267.6,0.7
399.28,10621,264.8,0.6
402,10744,264.8,0.4
404.19,10805,265,0.8
404.78,10827,265.3,0.4
406.39,10895,264.4,1.5
407.5,10933,264.1,0.7
409.7,11014,264.2,1.1
411.38,11087,264.5,0.4
413.03,11136,264,0.5
414.75,11201,263,1.3
415.73,11236,265.2,0.8
417.07,11278,258.8,0.7
418.53,11338,260.8,0.5
420.49,11392,255.4,0.3
421.8,11436,253.9,0.6
422.9,11469,253.8,0.8
426.1,11580,250.7,1.1
427.33,11635,249.7,0.4
428.3,11676,251.1,0.3
429.5,11727,250.7,0.9
431.73,11819,245.3,1.1
433.79,11896,245.3,0.6
435,11958,246.6,0.5
437.23,12050,243.2,0.4
438.85,12122,240.3,0.3
443.8,12371,237.5,0.5
446.03,12496,237.6,0.6
448.75,12642,234.2,0.3
450.98,12760,238.3,1.1
454.25,12942,237.3,0.5
457.03,13090,237.9,0.2
459.9,13241,237.6,0.6
463.63,13440,236.4,0.9
465.25,13542,239.2,0.5
467.45,13653,238.6,0.6
470.2,13804,238.6,0.3
473.06,13948,239.1,0.4
479.71,14303,228.5,0.6
484.1,14550,228.4,0.7
487.25,14725,226.1,0.6
490.03,14890,225.2,0.5
492.2,15012,224.5,0.6
496.07,15233,222,0.8
499.35,15438,221,0.8
501.58,15570,220.9,0.5
504.2,15742,219.4,0.6
506.53,15886,214,0.8
509.25,16073,207.5,0.9
512.03,16260,207.7,0.5
514.75,16452,202.9,0.7
517.53,16659,200.8,1
520.25,16870,195.2,0.3
523.03,17111,193.9,0.5
526.3,17375,191,0.5
528.53,17565,188.5,0.7
531.25,17809,188.5,0.7
532.93,17943,189.2,0.4
536.75,18285,187,0.2
539.53,18541,188.6,0.5
542.9,18828,189.4,0.4
543.35,18868,192.3,0.6
543.93,18921,188.3,0.6
548.85,19347,188.7,0.2
550.51,19509,188.8,0.5
553.25,19748,190,0.8
556.03,19988,188,0.9
557.89,20168,188.2,0.7
558.2,20197,195,0.7
561.53,20502,187.8,0.4
564.26,20748,186.9,0.3
567.03,21011,186.5,0.3
569.75,21257,184.7,1.2
572.53,21507,186.1,0.4
576.33,21854,185.7,1.3
578.11,22015,184.4,0.8
