"","prefix","time","fit","se","type","lower","upper"
"1","INAG",10000,0.000654447097801522,0.364935996416683,"Intensive Agriculture",0.000315531286252633,0.00135690219691484
"2","INAG",9900.50505050505,0.000735030346709189,0.359149798809774,"Intensive Agriculture",0.000358521597935556,0.0015063415980337
"3","INAG",9801.0101010101,0.00082552775926528,0.35336366335794,"Intensive Agriculture",0.000407366789457723,0.00167221182278714
"4","INAG",9701.51515151515,0.000927156933234628,0.347577594481326,"Intensive Agriculture",0.000462863535133729,0.00185631307276476
"5","INAG",9602.0202020202,0.00104128444453005,0.341791596139826,"Intensive Agriculture",0.000525916709131736,0.00206064130163206
"6","INAG",9502.52525252525,0.00116944392900419,0.336005671809312,"Intensive Agriculture",0.000597554021620759,0.00228740915583766
"7","INAG",9403.0303030303,0.00131335632059156,0.330219824461805,"Intensive Agriculture",0.000678942617624049,0.00253906907501691
"8","INAG",9303.53535353535,0.00147495249290501,0.324434056550108,"Intensive Agriculture",0.000771407896786638,0.00281833875594292
"9","INAG",9204.0404040404,0.00165639857703786,0.318648369997449,"Intensive Agriculture",0.000876454844769962,0.00312822919857653
"10","INAG",9104.54545454545,0.00186012425590191,0.312862766192785,"Intensive Agriculture",0.000995792203147987,0.0034720755673557
"11","INAG",9005.05050505051,0.00208885436486945,0.307077245992531,"Intensive Agriculture",0.00113135984477371,0.00385357111495461
"12","INAG",8905.55555555555,0.00234564415962804,0.30129180972955,"Intensive Agriculture",0.00128535976586517,0.00427680442882652
"13","INAG",8806.06060606061,0.00263391864472683,0.295506457230425,"Intensive Agriculture",0.00146029115473161,0.00474630027226657
"14","INAG",8706.56565656566,0.00295751638987336,0.289721187842151,"Intensive Agriculture",0.00165899005025687,0.00526706430065767
"15","INAG",8607.07070707071,0.00332073829500982,0.283936000469604,"Intensive Agriculture",0.00188467416099787,0.00584463193893851
"16","INAG",8507.57575757576,0.00372840179869292,0.27815089362535,"Intensive Agriculture",0.00214099347790089,0.00648512170684227
"17","INAG",8408.08080808081,0.00418590105612661,0.272365865493626,"Intensive Agriculture",0.00243208737981636,0.00719529327246169
"18","INAG",8308.58585858586,0.0046992736417593,0.266580914010651,"Intensive Agriculture",0.00276264900051921,0.00798261050019514
"19","INAG",8209.09090909091,0.00527527435454438,0.2607960369638,"Intensive Agriculture",0.00313799769770574,0.00885530973366793
"20","INAG",8109.59595959596,0.00592145671903313,0.255011232112633,"Intensive Agriculture",0.00356416053675771,0.00982247351484262
"21","INAG",8010.10101010101,0.0066462627788899,0.249226497335332,"Intensive Agriculture",0.00404796377250716,0.0108941098836775
"22","INAG",7910.60606060606,0.00745912176615516,0.243441831184806,"Intensive Agriculture",0.00459713537357417,0.0120812373323357
"23","INAG",7811.11111111111,0.00837055819366114,0.237657234770274,"Intensive Agriculture",0.00522041967885541,0.0133959754024041
"24","INAG",7711.61616161616,0.00939230986247372,0.23187271044439,"Intensive Agriculture",0.00592770537162414,0.0148516406529121
"25","INAG",7612.12121212121,0.0105374561656862,0.226088260991518,"Intensive Agriculture",0.0067301679055567,0.0164628476984248
