years BP 2000,permille
0,-35.19
50,-35.19
50,-34.83
100,-34.83
100,-35.05
150,-35.05
150,-35.45
200,-35.45
200,-35.42
250,-35.42
250,-35.63
300,-35.63
300,-35.8
350,-35.8
350,-35.62
400,-35.62
400,-35.48
450,-35.48
450,-35.36
500,-35.36
500,-35.41
550,-35.41
550,-35.1
600,-35.1
600,-35.27
650,-35.27
650,-35.67
700,-35.67
700,-35.33
750,-35.33
750,-35.38
800,-35.38
800,-35.63
850,-35.63
850,-35.49
900,-35.49
900,-35.3
950,-35.3
950,-35.66
1000,-35.66
1000,-35.01
1050,-35.01
1050,-35.09
1100,-35.09
1100,-35.58
1150,-35.58
1150,-35.51
1200,-35.51
1200,-35.34
1250,-35.34
1250,-35.27
1300,-35.27
1300,-35.26
1350,-35.26
1350,-35.09
1400,-35.09
1400,-35.2
1450,-35.2
1450,-35.09
1500,-35.09
1500,-35.68
1550,-35.68
1550,-35.42
1600,-35.42
1600,-34.84
1650,-34.84
1650,-35.68
1700,-35.68
1700,-35.22
1750,-35.22
1750,-35.72
1800,-35.72
1800,-35.43
1850,-35.43
1850,-35.19
1900,-35.19
1900,-34.66
1950,-34.66
1950,-35.03
2000,-35.03
2000,-35
2050,-35
2050,-35.12
2100,-35.12
2100,-35.19
2150,-35.19
2150,-35.6
2200,-35.6
2200,-35.33
2250,-35.33
2250,-34.77
2300,-34.77
2300,-34.99
2350,-34.99
2350,-35.1
2400,-35.1
2400,-34.93
2450,-34.93
2450,-35.65
2500,-35.65
2500,-35.25
2550,-35.25
2550,-35.11
2600,-35.11
2600,-35.29
2650,-35.29
2650,-35.32
2700,-35.32
2700,-35.19
2750,-35.19
2750,-34.86
2800,-34.86
2800,-34.96
2850,-34.96
2850,-35.14
2900,-35.14
2900,-35.03
2950,-35.03
2950,-34.64
3000,-34.64
3000,-34.98
3050,-34.98
3050,-35.19
3100,-35.19
3100,-34.91
3150,-34.91
3150,-35.02
3200,-35.02
3200,-35.17
3250,-35.17
3250,-35.08
3300,-35.08
3300,-35.15
3350,-35.15
3350,-34.91
3400,-34.91
3400,-34.81
3450,-34.81
3450,-35.07
3500,-35.07
3500,-35
3550,-35
3550,-34.96
3600,-34.96
3600,-35.13
3650,-35.13
3650,-34.49
3700,-34.49
3700,-34.63
3750,-34.63
3750,-35.06
3800,-35.06
3800,-35.05
3850,-35.05
3850,-35.21
3900,-35.21
3900,-35.11
3950,-35.11
3950,-35.07
4000,-35.07
4000,-34.73
4050,-34.73
4050,-35.02
4100,-35.02
4100,-35.25
4150,-35.25
4150,-34.96
4200,-34.96
4200,-34.65
4250,-34.65
4250,-35.19
4300,-35.19
4300,-34.65
4350,-34.65
4350,-35.1
4400,-35.1
4400,-34.99
4450,-34.99
4450,-34.65
4500,-34.65
4500,-35
4550,-35
4550,-34.45
4600,-34.45
4600,-34.87
4650,-34.87
4650,-35.05
4700,-35.05
4700,-34.78
4750,-34.78
4750,-34.6
4800,-34.6
4800,-34.85
4850,-34.85
4850,-34.74
4900,-34.74
4900,-34.4
4950,-34.4
4950,-34.72
5000,-34.72
5000,-34.76
5050,-34.76
5050,-34.65
5100,-34.65
5100,-34.98
5150,-34.98
5150,-34.41
5200,-34.41
5200,-34.68
5250,-34.68
5250,-35.09
5300,-35.09
5300,-34.97
5350,-34.97
5350,-35.02
5400,-35.02
5400,-34.64
5450,-34.64
5450,-34.56
5500,-34.56
5500,-34.51
5550,-34.51
5550,-34.82
